Ereignisjahr,KontinentK,HeimatK,Anzahl
2003,Amerika,Brasilien,3
2003,Amerika,Chile,4
2003,Amerika,Dominikanische Republik,14
2003,Amerika,Kanada,2
2003,Amerika,Kolumbien,2
2003,Amerika,Kuba,2
2003,Amerika,Mexico,3
2003,Amerika,Peru,5
2003,Amerika,USA,18
2003,Asien,Bangla Desh,14
2003,Asien,China (Volksrepublik China),6
2003,Asien,Indien,21
2003,Asien,Irak,20
2003,Asien,Iran,8
2003,Asien,Libanon,8
2003,Asien,Pakistan,19
2003,Asien,Philippinen,6
2003,Asien,Sri Lanka,152
2003,Asien,Thailand,5
2003,Europa,Bosnien-Herzegowina,40
2003,Europa,Deutschland,146
2003,Europa,Grossbritannien,19
2003,Europa,Italien,58
2003,Europa,Kroatien,35
2003,Europa,Mazedonien,70
2003,Europa,Portugal,118
2003,Europa,"Serbien, Montenegro und Kosovo",281
2003,Europa,Spanien,42
2003,Europa,Türkei,71
2003,Ozeanien,Australien,5
2003,Ozeanien,Fidschi Inseln,0
2003,Ozeanien,Neuseeland,1
2003,Ozeanien,Tonga,0
2003,Schweiz,Schweiz,2222
2004,Afrika,Algerien,7
2004,Afrika,Angola,9
2004,Afrika,Äthiopien,2
2004,Afrika,Dem. Republik Kongo,2
2004,Afrika,Eritrea,5
2004,Afrika,Ghana,3
2004,Afrika,Marokko,11
2004,Afrika,Nigeria,1
2004,Afrika,Somalia,12
2004,Afrika,Tunesien,7
2004,Amerika,Argentinien,1
2004,Amerika,Brasilien,12
2004,Amerika,Chile,3
2004,Amerika,Dominikanische Republik,14
2004,Amerika,Kanada,3
2004,Amerika,Kolumbien,0
2004,Amerika,Kuba,0
2004,Amerika,Mexico,0
2004,Amerika,Peru,1
2004,Amerika,USA,17
2004,Asien,Bangla Desh,12
2004,Asien,China (Volksrepublik China),9
2004,Asien,Indien,6
2004,Asien,Irak,11
2004,Asien,Iran,9
2004,Asien,Libanon,7
2004,Asien,Pakistan,19
2004,Asien,Philippinen,7
2004,Asien,Sri Lanka,125
2004,Asien,Thailand,4
2004,Europa,Bosnien-Herzegowina,47
2004,Europa,Deutschland,172
2004,Europa,Grossbritannien,31
2004,Europa,Italien,95
2004,Europa,Kroatien,30
2004,Europa,Mazedonien,53
2004,Europa,Portugal,115
2004,Europa,"Serbien, Montenegro und Kosovo",223
2004,Europa,Spanien,49
2004,Europa,Türkei,99
2004,Ozeanien,Australien,5
2004,Ozeanien,Fidschi Inseln,0
2004,Ozeanien,Neuseeland,4
2004,Ozeanien,Tonga,0
2004,Schweiz,Schweiz,2370
2005,Afrika,Algerien,3
2005,Afrika,Angola,2
2005,Afrika,Äthiopien,0
2005,Afrika,Dem. Republik Kongo,2
2005,Afrika,Eritrea,0
2005,Afrika,Ghana,10
2005,Afrika,Marokko,7
2005,Afrika,Nigeria,5
2005,Afrika,Somalia,17
2005,Afrika,Tunesien,14
2005,Amerika,Argentinien,1
2005,Amerika,Brasilien,15
2005,Amerika,Chile,4
2005,Amerika,Dominikanische Republik,9
2005,Amerika,Kanada,3
2005,Amerika,Kolumbien,2
2005,Amerika,Kuba,5
2005,Amerika,Mexico,2
2005,Amerika,Peru,7
2005,Amerika,USA,20
2005,Asien,Bangla Desh,11
2005,Asien,China (Volksrepublik China),10
2005,Asien,Indien,16
2005,Asien,Irak,19
2005,Asien,Iran,8
2005,Asien,Libanon,10
2005,Asien,Pakistan,14
2005,Asien,Philippinen,4
2005,Asien,Sri Lanka,120
2005,Asien,Thailand,5
2005,Europa,Bosnien-Herzegowina,37
2005,Europa,Deutschland,202
2005,Europa,Grossbritannien,25
2005,Europa,Italien,77
2005,Europa,Kroatien,31
2005,Europa,Mazedonien,57
2005,Europa,Portugal,119
2005,Europa,"Serbien, Montenegro und Kosovo",234
2005,Europa,Spanien,38
2005,Europa,Türkei,78
2005,Ozeanien,Australien,3
2005,Ozeanien,Fidschi Inseln,0
2005,Ozeanien,Neuseeland,2
2005,Ozeanien,Tonga,1
2005,Schweiz,Schweiz,2499
2006,Afrika,Algerien,4
2006,Afrika,Angola,12
2006,Afrika,Äthiopien,3
2006,Afrika,Dem. Republik Kongo,6
2006,Afrika,Eritrea,4
2006,Afrika,Ghana,6
2006,Afrika,Marokko,5
2006,Afrika,Nigeria,2
2006,Afrika,Somalia,19
2006,Afrika,Tunesien,12
2006,Amerika,Argentinien,1
2006,Amerika,Brasilien,3
2006,Amerika,Chile,3
2006,Amerika,Dominikanische Republik,18
2006,Amerika,Kanada,7
2006,Amerika,Kolumbien,2
2006,Amerika,Kuba,1
2006,Amerika,Mexico,1
2006,Amerika,Peru,3
2006,Amerika,USA,19
2006,Asien,Bangla Desh,15
2006,Asien,China (Volksrepublik China),11
2006,Asien,Indien,14
2006,Asien,Irak,21
2006,Asien,Iran,7
2006,Asien,Libanon,11
2006,Asien,Pakistan,18
2006,Asien,Philippinen,9
2006,Asien,Sri Lanka,96
2006,Asien,Thailand,6
2006,Europa,Bosnien-Herzegowina,36
2006,Europa,Deutschland,230
2006,Europa,Grossbritannien,36
2006,Europa,Italien,82
2006,Europa,Kroatien,7
2006,Europa,Mazedonien,59
2006,Europa,Portugal,109
2006,Europa,"Serbien, Montenegro und Kosovo",202
2006,Europa,Spanien,44
2006,Europa,Türkei,70
2006,Ozeanien,Australien,3
2006,Ozeanien,Fidschi Inseln,0
2006,Ozeanien,Neuseeland,2
2006,Ozeanien,Tonga,0
2006,Schweiz,Schweiz,2637
2007,Afrika,Algerien,5
2007,Afrika,Angola,8
2007,Afrika,Äthiopien,3
2007,Afrika,Dem. Republik Kongo,0
2007,Afrika,Eritrea,4
2007,Afrika,Ghana,6
2007,Afrika,Marokko,6
2007,Afrika,Nigeria,2
2007,Afrika,Somalia,18
2007,Afrika,Tunesien,9
2007,Amerika,Argentinien,0
2007,Amerika,Brasilien,12
2007,Amerika,Chile,4
2007,Amerika,Dominikanische Republik,20
2007,Amerika,Kanada,6
2007,Amerika,Kolumbien,1
2007,Amerika,Kuba,3
2007,Amerika,Mexico,2
2007,Amerika,Peru,4
2007,Amerika,USA,30
2007,Asien,Bangla Desh,8
2007,Asien,China (Volksrepublik China),11
2007,Asien,Indien,16
2007,Asien,Irak,7
2007,Asien,Iran,3
2007,Asien,Libanon,3
2007,Asien,Pakistan,17
2007,Asien,Philippinen,0
2007,Asien,Sri Lanka,54
2007,Asien,Thailand,10
2007,Europa,Bosnien-Herzegowina,22
2007,Europa,Deutschland,293
2007,Europa,Grossbritannien,17
2007,Europa,Italien,73
2007,Europa,Kroatien,21
2007,Europa,Mazedonien,44
2007,Europa,Portugal,99
2007,Europa,"Serbien, Montenegro und Kosovo",178
2007,Europa,Spanien,38
2007,Europa,Türkei,61
2007,Ozeanien,Australien,4
2007,Ozeanien,Fidschi Inseln,0
2007,Ozeanien,Neuseeland,4
2007,Ozeanien,Tonga,1
2007,Schweiz,Schweiz,2790
2008,Afrika,Algerien,8
2008,Afrika,Angola,8
2008,Afrika,Äthiopien,5
2008,Afrika,Dem. Republik Kongo,5
2008,Afrika,Eritrea,6
2008,Afrika,Ghana,4
2008,Afrika,Marokko,6
2008,Afrika,Nigeria,3
2008,Afrika,Somalia,16
2008,Afrika,Tunesien,13
2008,Amerika,Argentinien,0
2008,Amerika,Brasilien,9
2008,Amerika,Chile,1
2008,Amerika,Dominikanische Republik,16
2008,Amerika,Kanada,5
2008,Amerika,Kolumbien,0
2008,Amerika,Kuba,1
2008,Amerika,Mexico,1
2008,Amerika,Peru,5
2008,Amerika,USA,27
2008,Asien,Bangla Desh,7
2008,Asien,China (Volksrepublik China),16
2008,Asien,Indien,22
2008,Asien,Irak,14
2008,Asien,Iran,2
2008,Asien,Libanon,9
2008,Asien,Pakistan,16
2008,Asien,Philippinen,5
2008,Asien,Sri Lanka,62
2008,Asien,Thailand,6
2008,Europa,Bosnien-Herzegowina,22
2008,Europa,Deutschland,314
2008,Europa,Grossbritannien,34
2008,Europa,Italien,78
2008,Europa,Kroatien,8
2008,Europa,Mazedonien,52
2008,Europa,Portugal,102
2008,Europa,"Serbien, Montenegro und Kosovo",160
2008,Europa,Spanien,36
2008,Europa,Türkei,58
2008,Ozeanien,Australien,5
2008,Ozeanien,Fidschi Inseln,0
2008,Ozeanien,Neuseeland,1
2008,Ozeanien,Tonga,0
2008,Schweiz,Schweiz,2969
2009,Afrika,Algerien,9
2009,Afrika,Angola,8
2009,Afrika,Äthiopien,2
2009,Afrika,Dem. Republik Kongo,2
2009,Afrika,Eritrea,5
2009,Afrika,Ghana,7
2009,Afrika,Marokko,4
2009,Afrika,Nigeria,4
2009,Afrika,Somalia,27
2009,Afrika,Tunesien,6
2009,Amerika,Argentinien,2
2009,Amerika,Brasilien,14
2009,Amerika,Chile,1
2009,Amerika,Dominikanische Republik,12
2009,Amerika,Kanada,6
2009,Amerika,Kolumbien,1
2009,Amerika,Kuba,0
2009,Amerika,Mexico,1
2009,Amerika,Peru,4
2009,Amerika,USA,35
2009,Asien,Bangla Desh,13
2009,Asien,China (Volksrepublik China),16
2009,Asien,Indien,21
2009,Asien,Irak,13
2009,Asien,Iran,1
2009,Asien,Libanon,9
2009,Asien,Pakistan,17
2009,Asien,Philippinen,4
2009,Asien,Sri Lanka,36
2009,Asien,Thailand,4
2009,Europa,Bosnien-Herzegowina,16
2009,Europa,Deutschland,361
2009,Europa,Grossbritannien,46
2009,Europa,Italien,96
2009,Europa,Kroatien,18
2009,Europa,Mazedonien,40
2009,Europa,Portugal,105
2009,Europa,"Serbien, Montenegro und Kosovo",154
2009,Europa,Spanien,26
2009,Europa,Türkei,61
2009,Ozeanien,Australien,2
2009,Ozeanien,Fidschi Inseln,0
2009,Ozeanien,Neuseeland,0
2009,Ozeanien,Tonga,0
2009,Schweiz,Schweiz,3172
2010,Afrika,Algerien,5
2010,Afrika,Angola,2
2010,Afrika,Äthiopien,5
2010,Afrika,Dem. Republik Kongo,4
2010,Afrika,Eritrea,12
2010,Afrika,Ghana,3
2010,Afrika,Marokko,2
2010,Afrika,Nigeria,2
2010,Afrika,Somalia,18
2010,Afrika,Tunesien,7
2010,Amerika,Argentinien,0
2010,Amerika,Brasilien,15
2010,Amerika,Chile,0
2010,Amerika,Dominikanische Republik,14
2010,Amerika,Kanada,5
2010,Amerika,Kolumbien,1
2010,Amerika,Kuba,0
2010,Amerika,Mexico,1
2010,Amerika,Peru,4
2010,Amerika,USA,23
2010,Asien,Bangla Desh,11
2010,Asien,China (Volksrepublik China),21
2010,Asien,Indien,22
2010,Asien,Irak,8
2010,Asien,Iran,2
2010,Asien,Libanon,5
2010,Asien,Pakistan,13
2010,Asien,Philippinen,1
