Jahr,Geschlecht,statistischeZoneId,statistischeZoneName,Geburten
2014,weiblich,11510,Murwiesenstrasse,1
1993,weiblich,5101,Josefswiese,12
2014,weiblich,5101,Josefswiese,15
1993,weiblich,11101,Katzensee,4
1993,weiblich,10207,Letten,15
1993,weiblich,9107,Letzigraben,6
1993,weiblich,9214,Letzigrund,11
2014,weiblich,2302,Mahrbachweg,4
1993,weiblich,2105,Manegg,1
1993,weiblich,3104,Manesseplatz,21
1993,weiblich,5203,Neue Hard,6
1993,weiblich,8301,Neumünster,1
2014,weiblich,4402,Norastrasse,22
2014,weiblich,4404,Lochergut,8
1993,weiblich,9202,Loogartenstrasse,10
2014,weiblich,9202,Loogartenstrasse,11
1993,weiblich,2302,Mahrbachweg,7
2014,weiblich,7205,Merkurplatz,14
2014,weiblich,6102,Kiefernweg,4
1993,weiblich,2402,Kongresshaus,5
1993,weiblich,5106,Konradstrasse,4
2014,weiblich,6303,Ottikerstrasse,10
1993,weiblich,7105,Platte,6
1993,weiblich,12304,Probsteistrasse,3
2014,weiblich,2404,Museum Rietberg,19
1993,weiblich,2108,Neubühl,12
1993,weiblich,4402,Norastrasse,9
1993,weiblich,6101,Nordheim,1
2014,weiblich,6101,Nordheim,5
2014,weiblich,3104,Manesseplatz,23
1993,weiblich,11504,Marktplatz Oerlikon,9
1993,weiblich,12303,Mattenhof,21
1993,weiblich,12301,Kronwiesenstrasse,6
2014,weiblich,9107,Letzigraben,15
1993,weiblich,6302,Letzistrasse,8
2014,weiblich,5102,Quellenstrasse,24
1993,weiblich,6104,Radio-Studio,5
2014,weiblich,11107,Reckenholz,19
1993,weiblich,11903,Rickenstrasse,4
2014,weiblich,10101,Riedhof,8
2014,weiblich,12304,Probsteistrasse,9
2014,weiblich,11909,Leutschenbach,17
2014,weiblich,7404,Loorenstrasse,2
2014,weiblich,2104,Morgental,5
1993,weiblich,9106,Mühlezelgstrasse,11
2014,weiblich,9106,Mühlezelgstrasse,12
1993,weiblich,2404,Museum Rietberg,18
1993,weiblich,10205,Röschibachstrasse,8
2014,weiblich,2108,Neubühl,15
2014,weiblich,5203,Neue Hard,9
1993,weiblich,1104,Oberdorf,2
2014,weiblich,6104,Radio-Studio,12
1993,weiblich,11107,Reckenholz,13
